16:24:00.293 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.311 [pool-1-thread-2] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/9.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.312 [pool-1-thread-2] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.358 [pool-1-thread-4] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/7.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.358 [pool-1-thread-4] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.395 [pool-1-thread-5] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/10.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.395 [pool-1-thread-5] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.398 [pool-1-thread-3] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/11.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.398 [pool-1-thread-3] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.429 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/12.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.429 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.678 [pool-1-thread-2] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/13.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.679 [pool-1-thread-2] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.807 [pool-1-thread-4] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/14.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.808 [pool-1-thread-4] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.826 [pool-1-thread-5] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/15.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.827 [pool-1-thread-5] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.856 [pool-1-thread-3] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/17.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.857 [pool-1-thread-3] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.860 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/18.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.861 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.868 [pool-1-thread-2] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/19.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.868 [pool-1-thread-2] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:00.952 [pool-1-thread-4] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/20.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:00.952 [pool-1-thread-4] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:24:01.118 [pool-1-thread-5] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/favicon.ico', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:24:01.120 [pool-1-thread-5] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:26:24.995 [main] INFO  c.m.w.server.util.ServletContext - Servlet com.miskevich.webserver.data.servlet.IndexServlet@78a773fd was registered by path /index/all
16:26:31.030 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Cache-Control= max-age=0, Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.349 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:26:31.407 [pool-1-thread-2] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/styles/bootstrap.min.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.409 [pool-1-thread-3] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/styles/styles.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.647 [pool-1-thread-3] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/styles/styles.css
16:26:31.648 [pool-1-thread-2] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/styles/bootstrap.min.css
16:26:31.661 [pool-1-thread-4] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/styles/styles.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.662 [pool-1-thread-4] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/styles/styles.css
16:26:31.671 [pool-1-thread-5] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/styles/bootstrap.min.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.672 [pool-1-thread-5] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/styles/bootstrap.min.css
16:26:31.680 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/styles/styles.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.681 [pool-1-thread-1] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/styles/styles.css
16:26:31.723 [pool-1-thread-6] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/styles/bootstrap.min.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.723 [pool-1-thread-6] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/styles/bootstrap.min.css
16:26:31.734 [pool-1-thread-8] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/styles/styles.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.734 [pool-1-thread-8] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/styles/styles.css
16:26:31.773 [pool-1-thread-11] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/pic/1.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.773 [pool-1-thread-11] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/pic/1.jpg
16:26:31.796 [pool-1-thread-12] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/pic/2.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:26:31.797 [pool-1-thread-12] WARN  c.m.webserver.file.ResourceReader - src/test/resources/webapp/index/pic/2.jpg
